ticket_id,created_at,product_module,content,customer_tier,status
TK-20260801,2026-07-27 09:12:00,支付,微信支付一直失败但银行卡已经扣款,高级,待处理
TK-20260802,2026-07-27 10:35:00,账户,登录时一直收不到验证码,普通,处理中
TK-20260803,2026-07-28 14:20:00,订单,订单支付成功后状态仍然显示待支付,企业,待处理
TK-20260804,2026-07-28 16:48:00,退款,退款申请三天了还没有到账,高级,处理中
TK-20260805,2026-07-29 08:25:00,客户端,升级后页面加载很慢偶尔闪退,普通,待处理
TK-20260806,2026-07-29 11:07:00,支付,支付宝付款失败提示系统繁忙,普通,已完成
TK-20260807,2026-07-30 09:50:00,账户,更换手机号后无法登录账号,高级,处理中
TK-20260808,2026-07-30 13:32:00,订单,希望增加批量取消订单的功能,企业,待处理
TK-20260809,2026-07-31 15:17:00,退款,显示退款成功但是银行卡没有到账,普通,待处理
TK-20260810,2026-07-31 17:43:00,客户端,订单列表加载非常慢,高级,已完成
TK-20260811,2026-08-01 09:05:00,支付,Android 14 上微信支付失败,高级,待处理
TK-20260812,2026-08-01 10:16:00,支付,微信付款页面闪退无法完成支付,普通,处理中
TK-20260813,2026-08-01 13:28:00,支付,支付失败后重复操作导致重复扣款,企业,待处理
TK-20260814,2026-08-02 08:44:00,账户,短信验证码十分钟后才收到,普通,待处理
TK-20260815,2026-08-02 11:39:00,订单,取消订单后仍然可以看到待发货状态,高级,处理中
TK-20260816,2026-08-02 16:02:00,支付,Android 客户端支付按钮没有反应,企业,待处理
TK-20260817,2026-08-03 09:31:00,退款,希望能看到退款处理进度,普通,待处理
TK-20260818,2026-08-03 12:54:00,客户端,打开首页白屏加载很慢,高级,处理中
TK-20260819,2026-08-03 15:26:00,支付,微信支付提示网络错误但是其他页面正常,普通,待处理
TK-20260820,2026-08-04 08:18:00,支付,支付成功后订单没有更新已经等了半小时,企业,待处理
TK-20260821,2026-08-04 09:42:00,账户,忘记密码后重置短信收不到,普通,处理中
TK-20260822,2026-08-04 10:11:00,支付,同一笔订单被重复扣款两次,高级,待处理
TK-20260823,2026-08-04 11:35:00,订单,建议增加订单状态变化通知,企业,待处理
TK-20260824,2026-08-04 13:06:00,退款,退款到账时间太久也没有通知,高级,待处理
