tx_id,paid_at,merchant,category,amount,method,note
TX0001,2026-06-01 11:41:15,美团外卖,餐饮,21.28,微信支付,
TX0002,2026-06-01 12:00:00,自如公寓,居住,2500.00,银行卡,6月房租
TX0003,2026-06-01 16:18:05,盒马鲜生,购物,33.28,微信支付,囤纸巾洗衣液
TX0004,2026-06-02 08:11:02,喜茶,餐饮,25.26,支付宝,工作日午餐
TX0005,2026-06-02 10:30:00,国家电网,居住,85.44,银行卡,6月水电燃气
TX0006,2026-06-02 16:34:12,中国石化,交通,23.52,支付宝,
TX0007,2026-06-02 17:18:16,淘宝,购物,88.99,支付宝,日用品补货
TX0008,2026-06-02 20:01:21,饿了么,餐饮,19.17,微信支付,加班夜宵
TX0009,2026-06-02 21:09:40,中国石化,交通,40.76,支付宝,
TX0010,2026-06-02 21:50:00,美团外卖,餐饮,46.42,支付宝,加班夜宵
TX0011,2026-06-03 11:33:44,喜茶,餐饮,44.16,银行卡,
TX0012,2026-06-03 13:29:17,天猫超市,购物,70.13,支付宝,数码小配件
TX0013,2026-06-03 19:26:15,美团外卖,餐饮,35.80,支付宝,
TX0014,2026-06-04 08:07:13,瑞幸咖啡,餐饮,54.44,支付宝,下午茶
TX0015,2026-06-04 09:21:32,猫眼演出,娱乐,29.09,微信支付,周末电影
TX0016,2026-06-04 09:43:50,喜茶,餐饮,34.00,微信支付,同事聚餐
TX0017,2026-06-04 12:32:53,饿了么,餐饮,25.31,微信支付,加班夜宵
TX0018,2026-06-04 13:45:56,12306,交通,13.29,微信支付,打车赶时间
TX0019,2026-06-04 16:11:16,盒马鲜生,购物,94.19,支付宝,囤纸巾洗衣液
TX0020,2026-06-05 08:05:00,腾讯视频,订阅,15.00,支付宝,视频VIP自动续费
TX0021,2026-06-05 09:05:00,百度网盘,订阅,18.00,支付宝,超级会员自动续费
TX0022,2026-06-05 09:41:29,饿了么,餐饮,57.92,银行卡,加班夜宵
TX0023,2026-06-05 10:05:00,网易云音乐,订阅,10.00,支付宝,黑胶VIP自动续费
TX0024,2026-06-05 11:05:00,Keep,订阅,19.00,支付宝,健身会员自动续费
TX0025,2026-06-05 12:05:00,iCloud,订阅,21.00,支付宝,50GB云存储订阅
TX0026,2026-06-05 13:05:00,GitHub Copilot,订阅,84.00,支付宝,编程助手订阅
TX0027,2026-06-05 14:59:33,公交集团,交通,43.93,微信支付,通勤地铁
TX0028,2026-06-05 15:39:38,京东,购物,113.88,银行卡,
TX0029,2026-06-05 16:09:48,公交集团,交通,36.44,支付宝,通勤地铁
TX0030,2026-06-05 20:00:11,任天堂eShop,娱乐,111.26,银行卡,乐队演出门票
TX0031,2026-06-06 15:20:01,滴滴出行,交通,42.38,支付宝,打车赶时间
TX0032,2026-06-06 21:59:36,饿了么,餐饮,18.85,支付宝,工作日午餐
TX0033,2026-06-07 07:07:04,滴滴出行,交通,16.47,微信支付,顺路加油
TX0034,2026-06-07 09:11:42,天猫超市,购物,48.16,银行卡,
TX0035,2026-06-07 10:36:59,瑞幸咖啡,餐饮,48.99,银行卡,下午茶
TX0036,2026-06-07 10:50:04,肯德基,餐饮,15.95,银行卡,下午茶
TX0037,2026-06-07 11:03:17,喜茶,餐饮,36.84,银行卡,下午茶
TX0038,2026-06-07 13:48:42,公交集团,交通,24.21,银行卡,
TX0039,2026-06-08 10:14:34,麦当劳,餐饮,21.31,微信支付,加班夜宵
TX0040,2026-06-08 11:08:50,12306,交通,37.88,微信支付,通勤地铁
TX0041,2026-06-08 14:21:22,麦当劳,餐饮,33.50,银行卡,工作日午餐
TX0042,2026-06-08 16:13:53,饿了么,餐饮,58.60,微信支付,下午茶
TX0043,2026-06-08 18:01:06,滴滴出行,交通,22.90,支付宝,通勤地铁
TX0044,2026-06-08 21:55:59,饿了么,餐饮,34.94,银行卡,工作日午餐
TX0045,2026-06-09 10:38:55,麦当劳,餐饮,55.61,微信支付,同事聚餐
TX0046,2026-06-09 13:39:16,麦当劳,餐饮,27.84,银行卡,
TX0047,2026-06-09 15:08:32,瑞幸咖啡,餐饮,22.08,银行卡,工作日午餐
TX0048,2026-06-09 16:29:42,猫眼演出,娱乐,35.48,支付宝,游戏打折入手
TX0049,2026-06-09 16:53:47,任天堂eShop,娱乐,26.10,支付宝,周末电影
TX0050,2026-06-10 07:40:39,滴滴出行,交通,23.51,银行卡,
TX0051,2026-06-10 08:09:43,美团外卖,餐饮,33.17,银行卡,下午茶
TX0052,2026-06-10 11:27:13,公交集团,交通,16.83,支付宝,打车赶时间
TX0053,2026-06-11 08:15:34,Steam,娱乐,70.59,微信支付,乐队演出门票
TX0054,2026-06-11 19:49:59,饿了么,餐饮,15.42,银行卡,
TX0055,2026-06-11 20:46:41,中国石化,交通,8.29,银行卡,顺路加油
TX0056,2026-06-11 22:00:15,拼多多,购物,78.20,银行卡,数码小配件
TX0057,2026-06-12 09:17:16,万达影城,娱乐,108.97,银行卡,
TX0058,2026-06-12 11:48:38,美团外卖,餐饮,47.29,微信支付,
TX0059,2026-06-13 11:17:57,滴滴出行,交通,11.42,支付宝,顺路加油
TX0060,2026-06-13 12:41:49,美团外卖,餐饮,43.67,支付宝,下午茶
TX0061,2026-06-13 16:24:45,天猫超市,购物,42.31,银行卡,囤纸巾洗衣液
TX0062,2026-06-13 21:14:23,中国石化,交通,28.44,支付宝,打车赶时间
TX0063,2026-06-14 08:45:22,瑞幸咖啡,餐饮,54.79,支付宝,
TX0064,2026-06-14 22:20:59,饿了么,餐饮,55.45,微信支付,
TX0065,2026-06-15 11:02:55,Steam,娱乐,117.62,微信支付,
TX0066,2026-06-15 19:34:59,肯德基,餐饮,50.21,支付宝,
TX0067,2026-06-15 20:50:15,拼多多,购物,107.14,支付宝,日用品补货
TX0068,2026-06-16 08:58:56,大麦网,娱乐,37.86,支付宝,周末电影
